epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.530000007153,0.786872625351,1.0,0.522906243801
1,0.529999995232,0.736248803139,1.0,0.434904187918
2,0.439999997616,0.764188182354,1.0,0.411669015884
3,0.4,0.765562856197,1.0,0.412423461676
4,0.419999992847,0.744102394581,1.0,0.427342325449
5,0.419999998808,0.744728958607,1.0,0.452649742365
6,0.429999995232,0.714036011696,1.0,0.484061837196
7,0.430000001192,0.72694619894,0.916666686535,0.514206945896
8,0.480000007153,0.694306647778,0.75,0.54638260603
